;date;Ratio-NYC;capacity-NYC;Cases-NYC
0;2020-04-01;0.052432542927228126;21167;4892
1;2020-04-02;0.028566369890732496;22910;4992
2;2020-04-03;0.01984397637356514;23957;5071
3;2020-04-04;0.0153652706538519;22956;5126
4;2020-04-05;0.012536651081702195;23017;5157
5;2020-04-06;0.010605712032076773;23383;5189
6;2020-04-07;0.00921888755502201;23462;5273
7;2020-04-08;0.009609814008705976;23421;5292
8;2020-04-09;0.009839407211525219;23496;5195
9;2020-04-10;0.010097428563549189;23417;5029
10;2020-04-11;0.010317570104539256;23499;5010
11;2020-04-12;0.010590624875542633;23516;4882
12;2020-04-13;0.01099051251916406;23513;4448
13;2020-04-14;0.011485408690979918;23546;4176
14;2020-04-15;0.01206457057159472;23872;3933
15;2020-04-16;0.012733068604954725;23528;3713
16;2020-04-17;0.013413960547739925;23424;3581
17;2020-04-18;0.014273000503465777;23856;3358
18;2020-04-19;0.015160977188157256;23599;3281
19;2020-04-20;0.015859387747064482;23916;3349
20;2020-04-21;0.016510797682448643;24037;3195
21;2020-04-22;0.017079811468020355;24114;3134
22;2020-04-23;0.017643321227675653;23795;3035
23;2020-04-24;0.018287410300721448;23564;2885
24;2020-04-25;0.01878780291749575;23380;2803
25;2020-04-26;0.019425634331402465;23667;2611
26;2020-04-27;0.020300114661747845;22909;2396
27;2020-04-28;0.02118467624401416;22834;2348
28;2020-04-29;0.022236385248209204;22687;2190
29;2020-04-30;0.023257829654455102;22665;2073
30;2020-05-01;0.02427143031337642;22336;1981
31;2020-05-02;0.025344403387362817;21995;1904
32;2020-05-03;0.026228048957476657;21912;1873
33;2020-05-04;0.027079901777503815;21912;1768
34;2020-05-05;0.02817540376383685;21838;1594
35;2020-05-06;0.029317781491350888;21515;1459
36;2020-05-07;0.03080304736350351;21451;1347
37;2020-05-08;0.03252469995782155;21302;1232
38;2020-05-09;0.034556169328374534;21306;1175
39;2020-05-10;0.037035673797500036;21070;1128
40;2020-05-11;0.03962990541675249;21099;1082
41;2020-05-12;0.042056279610864764;20917;1050
42;2020-05-13;0.04405781679524696;20936;1041
43;2020-05-14;0.04561967588742909;20915;1023
44;2020-05-15;0.0467851422469682;20816;993
45;2020-05-16;0.04780596839339634;20791;969
46;2020-05-17;0.048609186399148435;20795;955
47;2020-05-18;0.04941316970720257;20734;907
48;2020-05-19;0.050343660780374326;20725;867
49;2020-05-20;0.051718040516940275;20621;830
50;2020-05-21;0.05275469998874254;20635;824
51;2020-05-22;0.05344640840688591;20579;847
52;2020-05-23;0.05402131213097786;20524;843
53;2020-05-24;0.05434834576400841;20434;858
54;2020-05-25;0.05491208416540841;20468;797
55;2020-05-26;0.05488294232047463;20449;804
56;2020-05-27;0.054879082523061576;20491;757
57;2020-05-28;0.05595450604375988;20735;696
58;2020-05-29;0.057833973255660004;20617;640
59;2020-05-30;0.05992990976572201;20561;625
60;2020-05-31;0.06293279022403259;20545;591
61;2020-06-01;0.06491614382239383;20513;623
62;2020-06-02;0.06835870326730781;20608;554
63;2020-06-03;0.07191921228618477;20534;522
64;2020-06-04;0.07497272375321157;20673;504
65;2020-06-05;0.07805335097001764;20699;469
66;2020-06-06;0.08122910181021561;20650;454
67;2020-06-07;0.08400846915947588;20667;450
68;2020-06-08;0.08886486028071068;20776;416
69;2020-06-09;0.09286827226995505;20779;394
70;2020-06-10;0.09717553688141924;20747;373
71;2020-06-11;0.1021384327991348;20789;350
72;2020-06-12;0.10621541299446607;20746;351
73;2020-06-13;0.11062626693694655;20593;344
74;2020-06-14;0.11534226769726966;20584;341
75;2020-06-15;0.11916067835584938;20604;332
76;2020-06-16;0.12178247021351893;20612;331
77;2020-06-17;0.12346724313937428;20568;330
78;2020-06-18;0.12373691535063835;20615;332
79;2020-06-19;0.12424594677271338;20568;325
80;2020-06-20;0.12437264936185954;20514;326
81;2020-06-21;0.12441174644564475;20498;325
82;2020-06-22;0.12353160776505724;20449;327
83;2020-06-23;0.12324942220001249;20491;322
84;2020-06-24;0.12254288218354827;20532;325
85;2020-06-25;0.12264639071176174;20532;314
86;2020-06-26;0.12267523215875842;20539;307
87;2020-06-27;0.12276865863041805;20539;308
88;2020-06-28;0.12257336343115124;20383;312
89;2020-06-29;0.12257479601087942;20403;318
90;2020-06-30;0.12164835164835165;20351;326
91;2020-07-01;0.12080268421731835;20333;329
92;2020-07-02;0.11856824689786827;20326;345
93;2020-07-03;0.11670648893360161;20195;334
94;2020-07-04;0.11532933383327085;20168;322
95;2020-07-05;0.11432316045684328;20186;315
96;2020-07-06;0.113948108783995;20160;314
