regiao,estado,data,novos.casos,casos.acumulados,novos.obitos,obitos.acumulados
US,NYC,2020-02-29,10.0,10.0,0.0,0.0
US,NYC,2020-03-01,0.0,10.0,0.0,0.0
US,NYC,2020-03-02,0.0,10.0,0.0,0.0
US,NYC,2020-03-03,10.0,20.0,0.0,0.0
US,NYC,2020-03-04,50.0,70.0,0.0,0.0
US,NYC,2020-03-05,30.0,100.0,0.0,0.0
US,NYC,2020-03-06,80.0,180.0,0.0,0.0
US,NYC,2020-03-07,70.0,250.0,0.0,0.0
US,NYC,2020-03-08,210.0,460.0,0.0,0.0
US,NYC,2020-03-09,580.0,1040.0,0.0,0.0
US,NYC,2020-03-10,690.0,1730.0,0.0,0.0
US,NYC,2020-03-11,1550.0,3280.0,10.0,10.0
US,NYC,2020-03-12,3550.0,6830.0,0.0,10.0
US,NYC,2020-03-13,6190.0,13020.0,0.0,10.0
US,NYC,2020-03-14,6420.0,19440.0,20.0,30.0
US,NYC,2020-03-15,10350.0,29790.0,50.0,80.0
US,NYC,2020-03-16,21210.0,51000.0,80.0,160.0
US,NYC,2020-03-17,24520.0,75520.0,80.0,240.0
US,NYC,2020-03-18,29710.0,105230.0,200.0,440.0
US,NYC,2020-03-19,37070.0,142300.0,240.0,680.0
US,NYC,2020-03-20,40070.0,182370.0,470.0,1150.0
US,NYC,2020-03-21,26370.0,208740.0,440.0,1590.0
US,NYC,2020-03-22,25790.0,234530.0,500.0,2090.0
US,NYC,2020-03-23,35700.0,270230.0,820.0,2910.0
US,NYC,2020-03-24,45010.0,315240.0,950.0,3860.0
US,NYC,2020-03-25,48740.0,363980.0,1230.0,5090.0
US,NYC,2020-03-26,50470.0,414450.0,1890.0,6980.0
US,NYC,2020-03-27,51160.0,465610.0,2180.0,9160.0
US,NYC,2020-03-28,34790.0,500400.0,2740.0,11900.0
US,NYC,2020-03-29,35630.0,536030.0,2910.0,14810.0
US,NYC,2020-03-30,61300.0,597330.0,3250.0,18060.0
US,NYC,2020-03-31,54590.0,651920.0,3850.0,21910.0
US,NYC,2020-04-01,54490.0,706410.0,4480.0,26390.0
US,NYC,2020-04-02,57480.0,763890.0,4980.0,31370.0
US,NYC,2020-04-03,56700.0,820590.0,4980.0,36350.0
US,NYC,2020-04-04,38650.0,859240.0,5110.0,41460.0
US,NYC,2020-04-05,37810.0,897050.0,5800.0,47260.0
US,NYC,2020-04-06,63530.0,960580.0,5750.0,53010.0
US,NYC,2020-04-07,60430.0,1021010.0,5990.0,59000.0
US,NYC,2020-04-08,55800.0,1076810.0,5690.0,64690.0
US,NYC,2020-04-09,50700.0,1127510.0,5610.0,70300.0
US,NYC,2020-04-10,45110.0,1172620.0,5400.0,75700.0
