# Initial condition for 2020-04-23
,S0,E0,I0,R0
Americana,0.9909484280972016,0.003923091697729375,0.0015516651603107666,0.0035768150447582367
Araçatuba,0.9828183039078799,0.007464507348355843,0.002940351908999361,0.0067768368347649694
Araraquara,0.9816989984686293,0.008011710611281773,0.0031599428839973404,0.007129348036091632
Araras,0.9954977158026319,0.001990432942164331,0.000781727504659034,0.001730133398714378
Barretos,0.991360157800997,0.0038326257239629635,0.0015073365484672427,0.0032998799265727937
Barueri,0.9605530659840573,0.01681947713729604,0.006672106818610582,0.015955350060035997
Bauru,0.9873624348660043,0.005517750419827343,0.002165217867185625,0.004954596846982549
Birigui,0.9946839607323672,0.0023460041446334698,0.0009216322832281472,0.0020484028397712234
Botucatu,0.9830413644563518,0.00738613440155317,0.0029135591617748973,0.006658951642820762
Bragança Paulista,0.9796414854934651,0.008942661939687459,0.0035322092802737414,0.007883653173026507
Campinas,0.9857099898730453,0.006162373578422576,0.0024234692229172707,0.005704167325615055
Carapicuíba,0.9808785900044326,0.008206144405948102,0.0032379909682540165,0.00767727462136533
Catanduva,0.9927354318474106,0.0032522605808264784,0.0012770563647312289,0.0027352512070315904
Cotia,0.9729171971286295,0.011578537142194511,0.004584036781258725,0.010920228947917464
Diadema,0.9729155978659728,0.01168317649510796,0.004620115589376321,0.010781110049542934
Embu Das Artes,0.9829948183389277,0.007326869360810947,0.00289064819587488,0.006787664104386322
Ferraz De Vasconcelos,0.9760319732953465,0.010232086623069583,0.004060865446661292,0.009675079901732955
Franca,0.9986254177874492,0.00059915447372491,0.0002360714533507542,0.0005393661409988723
Francisco Morato,0.985561156040273,0.006266745743670005,0.0024699125498251337,0.005702194925486282
Franco Da Rocha,0.963795554994825,0.015559580479258608,0.006183558736985204,0.014461305788931227
Guaratinguetá,0.9990376234862496,0.00043002356994256176,0.00016876235485962054,0.0003636005505599439
Guarujá,0.9837492443844402,0.007080547538128785,0.0027867994715654646,0.006383408605865371
Guarulhos,0.9789138266796309,0.009058609517320555,0.0035719648343471105,0.008455602616346133
Hortolândia,0.9967527575827434,0.001403455882251322,0.0005519647778127424,0.0012918315496407576
Indaiatuba,0.9968930632252957,0.0013523495149947522,0.000531071329687795,0.0012235257409299546
Itapecerica Da Serra,0.9745985225601143,0.010950014928136298,0.004332495720890749,0.010118966790858738
Itapetininga,0.996139780179665,0.0017025954934239765,0.0006700290679901385,0.0014875952589210341
Itapevi,0.9838936511327615,0.006952068016425807,0.0027422862290215045,0.006412000760973523
Itaquaquecetuba,0.9882408070332656,0.00510044181816806,0.002014425701848353,0.004644325446718001
Itu,0.9970561917637566,0.0012837727116921276,0.0005040408899654767,0.0011560041078672264
Jacareí,0.9924043661375556,0.003453526601333437,0.0013572199097283337,0.002784896933609574
Jandira,0.9898547156439965,0.004389891875123703,0.0017285023734797266,0.0040268992260108
Jaú,0.997609413645467,0.0010425605261437188,0.00040953174884829,0.0009385039135848259
Jundiaí,0.9888840369325897,0.0048013632211350195,0.0018917198112775116,0.004422880034997531
Limeira,0.997307154815117,0.0011722984287081935,0.00046031745453074525,0.0010602391391980916
Marília,0.9968936376361471,0.0013593230757825232,0.0005341566852833617,0.00121288260278691
Mauá,0.981937063484809,0.007762110886730133,0.0030551501066331125,0.007245675521827762
Mogi Das Cruzes,0.9758893395794628,0.010346041494327034,0.004093012534243996,0.009671606391966453
Mogi Guaçu,0.9943158880965213,0.0024657102394908975,0.0009718359238626953,0.002246573706090425
Osasco,0.9635938641517594,0.015571164385604953,0.006162237963069287,0.014672733499566387
Ourinhos,0.9932091670983224,0.0031455784110222445,0.001235928450337194,0.002409326040318136
Pindamonhangaba,0.9981594129895662,0.0008143876095950033,0.00031981588624191323,0.0007063922212233602
Piracicaba,0.9953348652129188,0.0020220762367059468,0.0007963961958941997,0.0018466721813742298
Poá,0.980142242925531,0.008544662850582595,0.00337435262097667,0.007938741602909792
Praia Grande,0.9851464141353162,0.006491140158608966,0.002554616207853645,0.005807829498221237
Presidente Prudente,0.996978570580213,0.0013455865350042516,0.0005285305823573632,0.0011473123024254453
Ribeirão Pires,0.9759623535538318,0.01032762680475301,0.004091481379324775,0.009618538262090592
Ribeirão Preto,0.9905873036431974,0.004071390593001602,0.001603421352135593,0.0037378844116654395
Rio Claro,0.9941703495007596,0.0025198013432877913,0.0009903046095306183,0.0023195532765432807
Salto,0.9961200412604048,0.00171567075715282,0.0006737581025587891,0.001490539799347952
Santa Bárbara D'Oeste,0.9990073253059076,0.00044613956352065984,0.0001751275116666624,0.00037141689202042395
Santo André,0.9714195745220515,0.012214455162364909,0.004835841198376191,0.011530129117207171
Santos,0.9392061811445075,0.025811146914762488,0.010346469486554148,0.024636202454175783
São Bernardo Do Campo,0.9696398608318771,0.012971635383593907,0.005136736078100734,0.012251767706428197
