nome_drs,Araraquara,Araçatuba,Baixada Santista,Barretos,Bauru,Campinas,Franca,Marília,SP,Piracicaba,Presidente Prudente,Registro,Ribeirão Preto,Sorocaba,E,N,W,SE,SW,São José do Rio Preto,São João da Boa Vista,Taubaté
Araraquara,0.9762497943996709,0.0001700240876676249,5.643771755701629e-05,0.0019447952655106027,0.0017208230204932618,0.0003716883607981766,0.0003502489123114651,0.0002492456097009012,7.388299476418889e-05,0.0030880950154886268,3.4370171944158176e-05,9.713541768640955e-05,0.0038907016812616546,8.898049829116056e-05,4.5578710423859514e-05,0.00014906017477092976,4.633863340972425e-05,4.1983987551128744e-05,4.629970281077789e-05,0.0018080334435328087,0.0011759528480947171,5.697348257377711e-05
Araçatuba,0.00013858812642365812,0.984601330936746,1.2868589122420953e-05,0.00022790698083676171,0.0014869756967106776,1.8837730333442376e-05,3.600381328820798e-05,0.0019250187097676968,1.3102618881668138e-05,4.208733909663307e-05,0.0018506937662938867,2.375518919211056e-06,5.891089366237572e-05,3.6013236873573154e-05,1.1651064282747464e-05,5.807765210127826e-06,7.828167455883336e-06,6.026646360302573e-06,5.799913233396475e-06,0.002928653261258037,9.862293748546829e-06,6.593078649875395e-06
Baixada Santista,0.0001726719178867529,4.817949691379111e-05,0.9793689192493324,7.850394668271385e-05,0.00016006548876766892,0.00044846617801733667,8.38784002030505e-05,6.452569515577474e-05,0.0015039527759827776,0.00038665449514579383,3.137205247521612e-05,0.023059530482965135,0.00010102892904834534,0.00048401894215442155,0.0014642648146802662,0.000786623337200252,0.0008170307762425843,0.0031322207458408455,0.001138031796360104,5.8997938412997284e-05,0.0001384437750064013,0.0007236798386966315
Barretos,0.0008291244199749332,0.0001452453599762616,1.3504163895844722e-05,0.9715669715336367,9.34607077552753e-05,3.5206284485259766e-05,0.002874724816175827,7.015420567117794e-05,1.2313832460698152e-05,0.00012875786172724158,2.929530806120564e-05,0.0,0.0023903201566306226,1.2320497315515294e-05,1.136502813850854e-05,2.441030576958127e-05,8.747018177092631e-06,8.337823349568847e-06,1.2136397318915258e-05,0.0031393984375217157,4.713904574406312e-05,9.120071725265815e-06
Bauru,0.003293531242326054,0.003023792255932241,8.857815806110726e-05,0.0002912903165025171,0.9815686922638054,0.000265244567655132,0.00014134512823553666,0.008145721268472916,0.00014465466531232954,0.001571924704059024,0.0005700212908812494,0.00012189005292426798,0.0003397699860694336,0.002819502968665171,8.21833636425416e-05,7.882145453383972e-05,0.00019633343672016023,6.602971615462286e-05,7.997136446437243e-05,0.0006111150826507787,0.0002216162036720407,7.304396147559688e-05
Campinas,0.0018332698171869884,0.00015095197389046222,0.000999678270820085,0.00043003778871978136,0.0009692005156851174,0.9747629642627785,0.00047032821205547713,0.00032177404967505274,0.0023392337743221637,0.017607079120003876,0.00012169838658821223,0.002910342602217363,0.0008717279513589742,0.006476028836532365,0.0016106854772114589,0.03158761701577088,0.002537216080158821,0.0011834874237524635,0.0017404553340917186,0.0003424345131915819,0.010093514800088334,0.001563291188794872
Franca,0.00027102700340968705,2.990048786056012e-05,1.73033540008483e-05,0.003061874812519624,4.452444782456665e-05,4.834507516721638e-05,0.9836386725290625,2.1045753858403347e-05,1.5512799612409766e-05,0.0002973209408618449,9.953549343309788e-06,3.25919305950569e-05,0.00291110374057305,1.3630465401310748e-05,1.0297571662956969e-05,2.150894501153658e-05,1.1535485208192103e-05,6.452523371493589e-06,1.0311788023670606e-05,0.0001052106804456662,0.0001814063551260149,1.252256142871774e-05
Marília,0.0002985121615671424,0.0023201935149558565,1.9281500489573404e-05,9.605758830447537e-05,0.004310534285485668,5.0837699734578536e-05,3.7084264837678866e-05,0.9807221751847217,3.8212319949212767e-05,0.00012809393996038548,0.007019519507894604,3.4208322915554066e-05,9.292314610036669e-05,0.00024689165694242657,1.565026322741464e-05,2.1418632480176116e-05,5.031955632720518e-05,1.8359813274756545e-05,2.3814020030640767e-05,0.0003153779267261142,2.960556213078304e-05,1.5101787466096016e-05
SP,0.0009706074167950641,0.0003008891569285505,0.008909383096047857,0.0003252410022408391,0.0011941544536229064,0.006241658842942853,0.0004204479132947438,0.0006396701418740263,0.9267678854975148,0.0021881626857011205,0.00032233637270764914,0.009481552687159868,0.0006272968193070213,0.0045455402320845354,0.08517149883319466,0.0872317853800367,0.08249641117527104,0.08390688132862095,0.14390766064069743,0.000337695357390681,0.0012305737786159712,0.0044255715403972214
Piracicaba,0.0037403945450548075,8.135369209112563e-05,0.00018434860938308103,0.00042289175471342435,0.0014390780281652734,0.004749460829052007,0.0006799000228763736,0.0001957481712192134,0.0002220871989708833,0.9659453807318462,4.921919876271336e-05,0.00040874216041150447,0.0013316863653756788,0.0011361533163835747,0.0001399307597132298,0.0004966514516029877,0.00017725049767083412,0.00012155999803098463,0.00017207064881970992,0.00021390393217251264,0.0049853435570788324,0.00020932868951670694
