UF [-],Código [-],Gentílico [-],Governador [2019],Capital [2010],Área Territorial - km² [2018],População estimada - pessoas [2019],Densidade demográfica - hab/km² [2010],Matrículas no ensino fundamental - matrículas [2018],IDH <span>Índice de desenvolvimento humano</span> [2010],Receitas realizadas - R$ (×1000) [2017],Despesas empenhadas - R$ (×1000) [2017],Rendimento mensal domiciliar per capita - R$ [2019],Total de veículos - veículos [2018],
AC,12,acriano,GLADSON DE LIMA CAMELI,Rio Branco,164123.738,881935,4.47,157646,0.663,6632883.10836,6084416.8063,890,277831,
AL,27,alagoano,JOSE RENAN VASCONCELOS CALHEIROS FILHO,Maceió,27843.295,3337357,112.33,490587,0.631,11950438.46015,10460634.91711,731,834827,
AP,16,amapaense,ANTONIO WALDEZ GÓES DA SILVA,Macapá,142470.762,845731,4.69,136185,0.708,5396417.14471,4224464.08829,880,195039,
AM,13,amazonense,WILSON MIRANDA LIMA,Manaus,1559168.117,4144597,2.23,705007,0.674,17328459.43402,15324896.55705,842,883083,
BA,29,baiano,RUI COSTA DOS SANTOS,Salvador,564722.611,14873064,24.82,2034711,0.660,50191003.24052,45570160.0038,913,4139107,
CE,23,cearense,CAMILO SOBREIRA DE SANTANA,Fortaleza,148894.757,9132078,56.76,1198116,0.682,28420222.47191,24608352.18276,942,3148369,
DF,53,brasiliense,IBANEIS ROCHA BARROS JUNIOR,Brasília,5760.783,3015268,444.66,377622,0.824,23812211.27074,21990464.6849,2686,1812473,
ES,32,capixaba ou espírito-santense,JOSE RENATO CASAGRANDE,Vitória,46074.444,4018650,76.25,502059,0.740,19685616.74376,14392338.00188,1477,1936862,
GO,52,goiano,RONALDO RAMOS CAIADO,Goiânia,340125.715,7018354,17.65,877593,0.735,37885335.16848,24248380.34233,1306,3909429,
MA,21,maranhense,FLÁVIO DINO DE CASTRO E COSTA,São Luís,329642.170,7075181,19.81,1178949,0.639,18503261.35491,17627170.75574,636,1696683,
MT,51,mato-grossense,MAURO MENDES FERREIRA,Cuiabá,903206.997,3484466,3.36,471613,0.725,23958528.83588,18187363.27009,1403,2080848,
MS,50,sul-mato-grossense ou mato-grossense-do-sul,REINALDO AZAMBUJA SILVA,Campo Grande,357145.535,2778986,6.86,404114,0.729,16396655.77012,14506915.37404,1514,1583142,
MG,31,mineiro,ROMEU ZEMA NETO,Belo Horizonte,586521.121,21168791,33.41,2511483,0.731,97199823.15616,98391669.16323,1358,11191341,
PA,15,paraense,HELDER ZAHLUTH BARBALHO,Belém,1245759.305,8602865,6.07,1439788,0.646,25849446.10454,22533470.04547,807,2013952,
PB,25,paraibano,JOÃO AZEVEDO LINS FILHO,João Pessoa,56467.239,4018127,66.70,556248,0.658,13097005.31928,10074700.04266,929,1293668,
PR,41,paranaense,CARLOS ROBERTO MASSA JUNIOR,Curitiba,199305.236,11433957,52.40,1427218,0.749,60163576.12246,55534402.97483,1621,7571122,
PE,26,pernambucano,PAULO HENRIQUE SARAIVA CÂMARA,Recife,98068.021,9557071,89.62,1301930,0.673,35746028.97102,33320486.44445,970,3010638,
PI,22,piauiense,JOSÉ WELLINGTON BARROSO DE ARAÚJO DIAS,Teresina,251616.823,3273227,12.40,480126,0.646,12124215.61511,9676736.31835,827,1196192,
RJ,33,fluminense,WILSON JOSÉ WITZEL,Rio de Janeiro,43750.423,17264943,365.23,2003315,0.761,78488140.78862,67965548.69757,1882,6725822,
RN,24,potiguar ou  norte-rio-grandense ou  rio-grandense-do-norte,MARIA DE FATIMA BEZERRA,Natal,52809.602,3506853,59.99,467629,0.684,13527552.73159,11330957.55333,1057,1290903,
RS,43,gaúcho ou sul-rio-grandense,EDUARDO FIGUEIREDO CAVALHEIRO LEITE,Porto Alegre,281707.151,11377239,37.96,1298736,0.746,66397468.17915,62476279.34364,1843,7077972,
RO,11,rondoniense ou rondoniano,MARCOS JOSE ROCHA DOS SANTOS,Porto Velho,237765.233,1777225,6.58,269626,0.690,9122310.72305,7085530.0168,1136,985047,
RR,14,roraimense,ANTONIO OLIVERIO GARCIA DE ALMEIDA,Boa Vista,224273.831,605761,2.01,96582,0.707,4419450.41557,3384683.73914,1044,219290,
SC,42,catarinense ou barriga-verde,CARLOS MOISÉS DA SILVA,Florianópolis,95730.921,7164788,65.27,851993,0.774,34696772.82078,25595103.37918,1769,5152615,
SP,35,paulista,JOÃO AGRIPINO DA COSTA DORIA JUNIOR,São Paulo,248219.481,45919049,166.23,5367614,0.783,232822496.56706,231982243.69176,1946,29057749,
SE,28,sergipano ou sergipense,BELIVALDO CHAGAS SILVA,Aracaju,21926.908,2298696,94.36,331297,0.665,10145046.95355,8494927.19996,980,772380,
TO,17,tocantinense,MAURO CARLESSE,Palmas,277720.404,1572866,4.98,246183,0.699,10305099.01288,8929456.43836,1056,690169,
